Generating taxpayers...
============================================================

Generating 38 taxpayers for addis_ababa-tc1...
  ✓ Ethio IT Solutions PLC (CRITICAL, comprehensive)
  ✓ Guji Coffee Export (MEDIUM, desk_audit)
  ✓ Ras Desta Medical (MEDIUM, issue_audit)
  ✓ Gurd Shola Real Estate (MEDIUM, issue_audit)
  ✓ Rift Valley University (LOW, desk_audit)
  ✓ Bambis Supermarket (MEDIUM, desk_audit)
  ✓ Myungsung Medical Center (LOW, desk_audit)
  ✓ Ethio IT Solutions (MEDIUM, issue_audit)
  ✓ Trans Ethiopia Trading (LOW, desk_audit)
  ✓ Global Petroleum (LOW, desk_audit)
  ✓ Mama Fresh Market S.C. (MEDIUM, desk_audit)
  ✓ Meri Best Supermarket (MEDIUM, issue_audit)
  ✓ Amhara Bank (CRITICAL, comprehensive)
  ✓ Gurd Shola Real Estate (MEDIUM, desk_audit)
  ✓ Holland Car (MEDIUM, desk_audit)
  ✓ Alpha University (LOW, desk_audit)

Generating 44 taxpayers for addis_ababa-tc3...
  ✓ Opal Construction Group (MEDIUM, issue_audit)
  ✓ Abay Bus (MEDIUM, issue_audit)
  ✓ Mama Fresh Market S.C. (CRITICAL, comprehensive)
  ✓ Sky Bus (HIGH, issue_audit)
  ✓ Unity University Ltd (MEDIUM, desk_audit)
  ✓ Samson Trading (CRITICAL, comprehensive)
  ✓ Messebo Cement Group (HIGH, issue_audit)
  ✓ Guna Trading House (HIGH, transfer_pricing)
  ✓ Unity University (MEDIUM, issue_audit)
  ✓ Ayat Real Estate (MEDIUM, desk_audit)
  ✓ Microlink College (MEDIUM, desk_audit)
  ✓ Nexus Hotel Group (MEDIUM, desk_audit)
  ✓ Addis Land (HIGH, field_audit)
  ✓ Derba Midroc Cement (HIGH, issue_audit)
  ✓ Saba Engineering S.C. (MEDIUM, desk_audit)
  ✓ Etete Supermarket S.C. (LOW, desk_audit)
  ✓ Alpha University (HIGH, field_audit)
  ✓ Fresh Corner Supermarket Ltd (MEDIUM, issue_audit)
  ✓ ET Highland Flora Ltd (MEDIUM, desk_audit)
  ✓ Japan Motors Ethiopia (CRITICAL, comprehensive)
  ✓ Kality Gas S.C. (HIGH, issue_audit)
  ✓ Zewditu Pharmacy PLC (HIGH, issue_audit)
  ✓ Flintstone Development (LOW, desk_audit)
  ✓ Sheger Transport (MEDIUM, issue_audit)
  ✓ Guna Trading House (MEDIUM, desk_audit)
  ✓ Anbessa City Bus S.C. (MEDIUM, desk_audit)
  ✓ Berhan Bank (CRITICAL, comprehensive)
  ✓ Akaki Power Plant (HIGH, issue_audit)
  ✓ Sky Bus PLC (CRITICAL, comprehensive)
  ✓ Ethiopian Cargo (CRITICAL, comprehensive)
  ✓ Abay Trading (HIGH, field_audit)
  ✓ Yekatit Hospital Supply Co. (MEDIUM, desk_audit)
  ✓ Saba Engineering (LOW, desk_audit)
  ✓ Kaleb Engineering (HIGH, field_audit)
  ✓ Zemen Tech Group (HIGH, issue_audit)
  ✓ Gurd Shola Real Estate PLC (MEDIUM, desk_audit)
  ✓ Opal Construction Group (CRITICAL, comprehensive)
  ✓ Marriott Executive (CRITICAL, comprehensive)
  ✓ Etete Supermarket (HIGH, field_audit)
  ✓ Eliana Hotel (MEDIUM, issue_audit)
  ✓ Moha Soft Drinks (MEDIUM, desk_audit)
  ✓ Digital Ethiopia (HIGH, issue_audit)
  ✓ Bazezew Trading (HIGH, transfer_pricing)
  ✓ Golden Bus (HIGH, field_audit)

============================================================
Total taxpayers generated: 124
============================================================

// ===== GENERATED TAXPAYERS - ADD TO taxpayers.js =====
// Add these BEFORE the existing taxpayers closing bracket ];

  {
    id: 'tp-aa-tc1-100',
    tin: 'TIN-1200',
    name: 'Ethio IT Solutions PLC',
    sector: 'Telecommunications',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 93,
    riskLevel: 'CRITICAL',
    suggestedAuditType: 'comprehensive',
    annualRevenue: 5501000000,
    employees: 749,
    registeredDate: '2019-04-30',
    lastAudit: '2023-03-03',
    complianceHistory: 'Minor discrepancies noted',
    address: 'Bole, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-101',
    tin: 'TIN-1201',
    name: 'Muller & Phipps Ethiopia',
    sector: 'Import/Export',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 65,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'issue_audit',
    annualRevenue: 275000000,
    employees: 57,
    registeredDate: '2013-06-24',
    lastAudit: '2021-01-18',
    complianceHistory: 'Minor filing delays',
    address: 'Arat Kilo, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-102',
    tin: 'TIN-1202',
    name: 'Abay Bank S.C.',
    sector: 'Financial Services',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 64,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 345000000,
    employees: 57,
    registeredDate: '2012-09-14',
    lastAudit: '2021-05-25',
    complianceHistory: 'Production volume discrepancies',
    address: 'Arat Kilo, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-103',
    tin: 'TIN-1203',
    name: 'Wonji Sugar Factory',
    sector: 'Manufacturing',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 54,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 512000000,
    employees: 76,
    registeredDate: '2015-04-08',
    lastAudit: '2021-03-21',
    complianceHistory: 'Intercompany pricing review needed',
    address: 'Piazza, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-104',
    tin: 'TIN-1204',
    name: 'Hayat Medical Center',
    sector: 'Healthcare',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 47,
    riskLevel: 'LOW',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 161000000,
    employees: 53,
    registeredDate: '2009-03-01',
    lastAudit: '2021-03-04',
    complianceHistory: 'Payroll tax issues',
    address: 'Piazza, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-105',
    tin: 'TIN-1205',
    name: 'Meri Best Supermarket PLC',
    sector: 'Retail',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 55,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 596000000,
    employees: 105,
    registeredDate: '2014-03-08',
    lastAudit: '2022-04-17',
    complianceHistory: 'Export tax verification needed',
    address: 'Mexico Square, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-106',
    tin: 'TIN-1206',
    name: 'Digital Ethiopia Corp',
    sector: 'Telecommunications',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 60,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'issue_audit',
    annualRevenue: 681000000,
    employees: 103,
    registeredDate: '2014-04-24',
    lastAudit: '2023-04-13',
    complianceHistory: 'Clean record',
    address: 'Gerji, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-107',
    tin: 'TIN-1207',
    name: 'Intercontinental Hotel',
    sector: 'Hospitality',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 85,
    riskLevel: 'HIGH',
    suggestedAuditType: 'field_audit',
    annualRevenue: 1739000000,
    employees: 266,
    registeredDate: '2014-02-06',
    lastAudit: '2021-12-05',
    complianceHistory: 'Intercompany pricing review needed',
    address: 'CMC, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-108',
    tin: 'TIN-1208',
    name: 'Flintstone Development',
    sector: 'Real Estate',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 91,
    riskLevel: 'CRITICAL',
    suggestedAuditType: 'comprehensive',
    annualRevenue: 4398000000,
    employees: 638,
    registeredDate: '2011-12-22',
    lastAudit: '2021-05-27',
    complianceHistory: 'Minor discrepancies noted',
    address: 'Megenagna, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-109',
    tin: 'TIN-1209',
    name: 'Etete Supermarket',
    sector: 'Retail',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 52,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 642000000,
    employees: 86,
    registeredDate: '2017-02-16',
    lastAudit: '2022-04-14',
    complianceHistory: 'Intercompany pricing review needed',
    address: 'CMC, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-110',
    tin: 'TIN-1210',
    name: 'Kaleb Engineering',
    sector: 'Construction',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 62,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'issue_audit',
    annualRevenue: 627000000,
    employees: 113,
    registeredDate: '2015-10-27',
    lastAudit: '2021-10-03',
    complianceHistory: 'Intercompany pricing review needed',
    address: 'Lebu, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-111',
    tin: 'TIN-1211',
    name: 'Tsehay Bank',
    sector: 'Financial Services',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 55,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 698000000,
    employees: 94,
    registeredDate: '2014-10-20',
    lastAudit: '2023-09-11',
    complianceHistory: 'Complex revenue streams',
    address: 'Sarbet, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-112',
    tin: 'TIN-1212',
    name: 'Todo Market',
    sector: 'Retail',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 94,
    riskLevel: 'CRITICAL',
    suggestedAuditType: 'comprehensive',
    annualRevenue: 6656000000,
    employees: 1055,
    registeredDate: '2014-01-06',
    lastAudit: '2023-08-14',
    complianceHistory: 'VAT discrepancies',
    address: 'Bambis, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-113',
    tin: 'TIN-1213',
    name: 'Etete Supermarket Co.',
    sector: 'Retail',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 94,
    riskLevel: 'CRITICAL',
    suggestedAuditType: 'comprehensive',
    annualRevenue: 8426000000,
    employees: 1008,
    registeredDate: '2018-05-19',
    lastAudit: '2022-03-08',
    complianceHistory: 'Late filings',
    address: 'Gerji, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-114',
    tin: 'TIN-1214',
    name: 'Mama Fresh Market',
    sector: 'Retail',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 55,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'issue_audit',
    annualRevenue: 709000000,
    employees: 141,
    registeredDate: '2010-03-01',
    lastAudit: '2023-05-21',
    complianceHistory: 'VAT discrepancies',
    address: 'Kazanchis, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-115',
    tin: 'TIN-1215',
    name: 'Nazret Brewery',
    sector: 'Manufacturing',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 62,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 531000000,
    employees: 101,
    registeredDate: '2018-09-23',
    lastAudit: '2021-03-27',
    complianceHistory: 'Payroll tax issues',
    address: 'Kotebe, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-116',
    tin: 'TIN-1216',
    name: 'Messebo Cement',
    sector: 'Manufacturing',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 30,
    riskLevel: 'LOW',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 162000000,
    employees: 52,
    registeredDate: '2011-05-24',
    lastAudit: '2022-02-21',
    complianceHistory: 'Revenue underreporting concerns',
    address: 'Meskel Square, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-117',
    tin: 'TIN-1217',
    name: 'Jupiter International Hotel',
    sector: 'Hospitality',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 42,
    riskLevel: 'LOW',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 144000000,
    employees: 55,
    registeredDate: '2017-12-28',
    lastAudit: '2022-04-06',
    complianceHistory: 'Clean record',
    address: 'Kazanchis, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-118',
    tin: 'TIN-1218',
    name: 'Digital Ethiopia',
    sector: 'Telecommunications',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 56,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 241000000,
    employees: 50,
    registeredDate: '2014-05-21',
    lastAudit: '2023-10-20',
    complianceHistory: 'Multiple late filings',
    address: 'Gerji, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-119',
    tin: 'TIN-1219',
    name: 'Wegagen Bus',
    sector: 'Transportation',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 52,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 701000000,
    employees: 96,
    registeredDate: '2017-03-12',
    lastAudit: '2023-01-23',
    complianceHistory: 'Service tax concerns',
    address: 'Bole, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-120',
    tin: 'TIN-1220',
    name: 'Addis Land PLC',
    sector: 'Real Estate',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 44,
    riskLevel: 'LOW',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 125000000,
    employees: 30,
    registeredDate: '2011-07-04',
    lastAudit: '2022-07-18',
    complianceHistory: 'Late filings',
    address: 'Piazza, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-121',
    tin: 'TIN-1221',
    name: 'Addis International Bank',
    sector: 'Financial Services',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 62,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 609000000,
    employees: 93,
    registeredDate: '2015-01-13',
    lastAudit: '2021-03-29',
    complianceHistory: 'Clean record',
    address: 'Kotebe, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-122',
    tin: 'TIN-1222',
    name: 'Admas University',
    sector: 'Education',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 47,
    riskLevel: 'LOW',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 96000000,
    employees: 64,
    registeredDate: '2009-01-17',
    lastAudit: '2022-02-09',
    complianceHistory: 'Export tax verification needed',
    address: 'Sidist Kilo, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-123',
    tin: 'TIN-1223',
    name: 'Sheger Transport',
    sector: 'Transportation',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 33,
    riskLevel: 'LOW',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 176000000,
    employees: 43,
    registeredDate: '2008-07-02',
    lastAudit: '2022-10-02',
    complianceHistory: 'Late filings',
    address: 'Arat Kilo, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-124',
    tin: 'TIN-1224',
    name: 'Guna Trading House',
    sector: 'Import/Export',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 35,
    riskLevel: 'LOW',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 175000000,
    employees: 68,
    registeredDate: '2012-08-25',
    lastAudit: '2021-07-04',
    complianceHistory: 'Good compliance record',
    address: 'Kality, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-125',
    tin: 'TIN-1225',
    name: 'Selam Bus',
    sector: 'Transportation',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 65,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 630000000,
    employees: 96,
    registeredDate: '2016-11-28',
    lastAudit: '2022-08-17',
    complianceHistory: 'Service tax concerns',
    address: 'Kality, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-126',
    tin: 'TIN-1226',
    name: 'Bole Real Estate Corp',
    sector: 'Real Estate',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 69,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 292000000,
    employees: 65,
    registeredDate: '2015-09-26',
    lastAudit: '2022-01-02',
    complianceHistory: 'Excise tax review needed',
    address: 'Akaki, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-127',
    tin: 'TIN-1227',
    name: 'ICT Ethiopia',
    sector: 'Telecommunications',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 48,
    riskLevel: 'LOW',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 130000000,
    employees: 67,
    registeredDate: '2020-04-06',
    lastAudit: '2021-04-23',
    complianceHistory: 'VAT discrepancies',
    address: 'Merkato, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-128',
    tin: 'TIN-1228',
    name: 'Nile Petroleum',
    sector: 'Energy',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 67,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'issue_audit',
    annualRevenue: 718000000,
    employees: 125,
    registeredDate: '2016-10-15',
    lastAudit: '2021-08-14',
    complianceHistory: 'Compliant',
    address: 'Sidist Kilo, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-129',
    tin: 'TIN-1229',
    name: 'Wonji Sugar Factory Ltd',
    sector: 'Manufacturing',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 98,
    riskLevel: 'CRITICAL',
    suggestedAuditType: 'comprehensive',
    annualRevenue: 7980000000,
    employees: 864,
    registeredDate: '2014-09-07',
    lastAudit: '2021-05-06',
    complianceHistory: 'Clean record',
    address: 'Merkato, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-130',
    tin: 'TIN-1230',
    name: 'Meta Abo Brewery',
    sector: 'Manufacturing',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 61,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'issue_audit',
    annualRevenue: 438000000,
    employees: 69,
    registeredDate: '2020-08-05',
    lastAudit: '2022-06-26',
    complianceHistory: 'Late filings',
    address: 'Sarbet, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-131',
    tin: 'TIN-1231',
    name: 'Zemzem Bank',
    sector: 'Financial Services',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 88,
    riskLevel: 'HIGH',
    suggestedAuditType: 'field_audit',
    annualRevenue: 1472000000,
    employees: 174,
    registeredDate: '2015-11-08',
    lastAudit: '2022-07-31',
    complianceHistory: 'Payroll tax issues',
    address: 'Summit, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-132',
    tin: 'TIN-1232',
    name: 'Yekatit Hospital Supply S.C.',
    sector: 'Healthcare',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 59,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 784000000,
    employees: 138,
    registeredDate: '2020-08-18',
    lastAudit: '2021-07-02',
    complianceHistory: 'Late filings',
    address: 'Meskel Square, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-133',
    tin: 'TIN-1233',
    name: 'Myungsung Medical Center Group',
    sector: 'Healthcare',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 58,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 649000000,
    employees: 115,
    registeredDate: '2012-09-15',
    lastAudit: '2022-08-15',
    complianceHistory: 'Multiple revenue sources',
    address: 'Bambis, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-134',
    tin: 'TIN-1234',
    name: 'Etete Supermarket',
    sector: 'Retail',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 64,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 646000000,
    employees: 135,
    registeredDate: '2016-10-15',
    lastAudit: '2021-12-06',
    complianceHistory: 'VAT discrepancies',
    address: 'Piazza, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-135',
    tin: 'TIN-1235',
    name: 'Jimma Coffee Ltd',
    sector: 'Agriculture',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 55,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'issue_audit',
    annualRevenue: 329000000,
    employees: 85,
    registeredDate: '2019-10-03',
    lastAudit: '2023-04-28',
    complianceHistory: 'Payroll tax issues',
    address: 'Sarbet, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-136',
    tin: 'TIN-1236',
    name: 'Abay Bus Co.',
    sector: 'Transportation',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 53,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 696000000,
    employees: 121,
    registeredDate: '2017-12-12',
    lastAudit: '2021-04-17',
    complianceHistory: 'Minor filing delays',
    address: 'Mexico Square, Addis Ababa'
  },

  {
    id: 'tp-aa-tc1-137',
    tin: 'TIN-1237',
    name: 'Yassin Coffee Export PLC',
    sector: 'Agriculture',
    taxCenter: 'addis_ababa-tc1',
    region: 'addis_ababa',
    riskScore: 62,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 778000000,
    employees: 100,
    registeredDate: '2020-05-20',
    lastAudit: '2023-02-20',
    complianceHistory: 'Minor discrepancies noted',
    address: 'Mexico Square, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-200',
    tin: 'TIN-2300',
    name: 'Goh Betoch Trading Group',
    sector: 'Import/Export',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 39,
    riskLevel: 'LOW',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 125000000,
    employees: 52,
    registeredDate: '2015-05-24',
    lastAudit: '2022-08-10',
    complianceHistory: 'Export tax verification needed',
    address: 'Lebu, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-201',
    tin: 'TIN-2301',
    name: 'NetSol Ethiopia Corp',
    sector: 'Telecommunications',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 80,
    riskLevel: 'HIGH',
    suggestedAuditType: 'issue_audit',
    annualRevenue: 1159000000,
    employees: 204,
    registeredDate: '2019-09-10',
    lastAudit: '2021-11-19',
    complianceHistory: 'Multiple late filings',
    address: 'CMC, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-202',
    tin: 'TIN-2302',
    name: 'Guna Trading House Group',
    sector: 'Import/Export',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 59,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 548000000,
    employees: 82,
    registeredDate: '2009-02-15',
    lastAudit: '2023-02-09',
    complianceHistory: 'Service tax concerns',
    address: 'Megenagna, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-203',
    tin: 'TIN-2303',
    name: 'Oromia Bank',
    sector: 'Financial Services',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 51,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 268000000,
    employees: 45,
    registeredDate: '2019-12-27',
    lastAudit: '2021-12-05',
    complianceHistory: 'Complex revenue streams',
    address: 'Akaki, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-204',
    tin: 'TIN-2304',
    name: 'Admas University',
    sector: 'Education',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 34,
    riskLevel: 'LOW',
    suggestedAuditType: 'desk_audit',
